REGIONID,MONTH,TOT_MIN,TOT_MAX,INT_MIN,INT_MAX
AUS1,1,12724,35440,2025-01-01T10:00:00Z,2020-01-31T17:00:00Z
AUS1,2,11680,34387,2025-02-16T12:30:00Z,2017-02-10T17:00:00Z
AUS1,3,13079,31519,2025-03-15T10:30:00Z,2025-03-15T18:00:00Z
AUS1,4,13378,27428,2023-04-09T12:30:00Z,2024-04-30T18:30:00Z
AUS1,5,14932,31222,2024-05-26T13:00:00Z,2022-05-31T18:00:00Z
AUS1,6,16324,32410,2024-06-09T13:00:00Z,2022-06-07T18:30:00Z
AUS1,7,14816,33483,2023-07-30T12:30:00Z,2024-07-15T18:30:00Z
AUS1,8,12144,31312,2024-08-24T13:00:00Z,2024-08-01T19:00:00Z
AUS1,9,11267,29185,2023-09-17T12:30:00Z,2018-09-03T19:00:00Z
AUS1,10,10073,26628,2024-10-26T11:30:00Z,2019-10-31T18:00:00Z
AUS1,11,11375,30057,2024-11-03T11:30:00Z,2015-11-19T16:00:00Z
AUS1,12,10776,33716,2024-12-25T12:30:00Z,2024-12-16T18:00:00Z
NSW1,1,4341,14029,2025-01-19T13:00:00Z,2017-01-30T16:30:00Z
NSW1,2,2718,14087,2025-02-16T12:30:00Z,2017-02-10T17:00:00Z
NSW1,3,4449,13136,2024-03-30T12:00:00Z,2023-03-06T18:00:00Z
NSW1,4,4101,10602,2023-04-09T13:00:00Z,2018-04-12T17:00:00Z
NSW1,5,5302,11933,2023-05-06T12:30:00Z,2022-05-30T18:00:00Z
NSW1,6,5556,13007,2024-06-09T13:00:00Z,2021-06-10T18:00:00Z
NSW1,7,5203,12565,2023-07-30T13:00:00Z,2024-07-15T18:30:00Z
NSW1,8,3877,12135,2024-08-31T12:30:00Z,2022-08-23T18:30:00Z
NSW1,9,3555,11366,2024-09-21T13:00:00Z,2018-09-03T19:00:00Z
NSW1,10,3121,10561,2024-10-26T13:00:00Z,2015-10-06T16:30:00Z
NSW1,11,4010,12802,2023-11-19T11:00:00Z,2015-11-20T16:00:00Z
NSW1,12,3392,13093,2024-12-25T12:30:00Z,2017-12-19T16:00:00Z
QLD1,1,4434,11144,2023-01-01T09:30:00Z,2025-01-22T18:00:00Z
QLD1,2,4268,10288,2025-02-22T11:00:00Z,2025-02-22T19:00:00Z
