INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,type
2014-09-04T00:30:00Z,AUS1,21501,MAX
2014-09-04T06:30:00Z,AUS1,21747,MAX
2014-09-04T07:00:00Z,AUS1,23487,MAX
2014-09-04T07:30:00Z,AUS1,24450,MAX
2014-09-04T08:00:00Z,AUS1,25120,MAX
2014-09-04T18:00:00Z,AUS1,25642,MAX
2014-09-04T18:30:00Z,AUS1,26804,MAX
2014-09-04T19:00:00Z,AUS1,27214,MAX
2014-11-21T14:30:00Z,AUS1,27259,MAX
2014-11-21T15:00:00Z,AUS1,27523,MAX
2014-11-21T15:30:00Z,AUS1,27714,MAX
2014-11-21T16:00:00Z,AUS1,27931,MAX
2014-11-21T16:30:00Z,AUS1,27948,MAX
2015-01-07T12:30:00Z,AUS1,28065,MAX
2015-01-07T13:00:00Z,AUS1,28394,MAX
2015-01-07T13:30:00Z,AUS1,28610,MAX
2015-01-07T14:00:00Z,AUS1,28692,MAX
2015-01-07T14:30:00Z,AUS1,28839,MAX
2015-01-07T15:30:00Z,AUS1,28970,MAX
2015-01-07T16:00:00Z,AUS1,29141,MAX
2015-01-07T16:30:00Z,AUS1,29273,MAX
2015-06-01T18:00:00Z,AUS1,29730,MAX
2015-06-01T18:30:00Z,AUS1,29877,MAX
2015-06-02T18:30:00Z,AUS1,30009,MAX
2015-07-13T18:00:00Z,AUS1,30368,MAX
2015-07-13T18:30:00Z,AUS1,30730,MAX
2015-07-14T18:30:00Z,AUS1,30853,MAX
2015-07-16T18:30:00Z,AUS1,30987,MAX
2016-01-13T14:00:00Z,AUS1,31093,MAX
2016-01-13T14:30:00Z,AUS1,31581,MAX
2016-01-13T15:00:00Z,AUS1,31816,MAX
2016-01-13T15:30:00Z,AUS1,32096,MAX
2016-01-13T16:00:00Z,AUS1,32411,MAX
2016-01-13T16:30:00Z,AUS1,32640,MAX
2016-01-13T17:00:00Z,AUS1,32705,MAX
2017-01-17T14:30:00Z,AUS1,32749,MAX
2017-01-17T15:00:00Z,AUS1,33138,MAX
2017-01-17T15:30:00Z,AUS1,33749,MAX
2017-01-17T16:00:00Z,AUS1,34200,MAX
2017-01-17T16:30:00Z,AUS1,34503,MAX
2017-01-17T17:00:00Z,AUS1,34660,MAX
2020-01-31T16:30:00Z,AUS1,34979,MAX
2020-01-31T17:00:00Z,AUS1,35440,MAX
2014-09-04T00:30:00Z,NSW1,8259,MAX
2014-09-04T07:00:00Z,NSW1,8923,MAX
2014-09-04T07:30:00Z,NSW1,9179,MAX
2014-09-04T08:00:00Z,NSW1,9443,MAX
2014-09-04T18:00:00Z,NSW1,9948,MAX
2014-09-04T18:30:00Z,NSW1,10444,MAX
2014-09-04T19:00:00Z,NSW1,10506,MAX
2014-11-14T13:30:00Z,NSW1,10656,MAX
2014-11-14T14:00:00Z,NSW1,10799,MAX
2014-11-14T14:30:00Z,NSW1,10985,MAX
2014-11-14T15:00:00Z,NSW1,11234,MAX
2014-11-14T15:30:00Z,NSW1,11395,MAX
2014-11-14T16:00:00Z,NSW1,11489,MAX
2014-11-21T14:30:00Z,NSW1,11510,MAX
2014-11-21T15:00:00Z,NSW1,11709,MAX
2014-11-21T15:30:00Z,NSW1,11849,MAX
2014-11-21T16:00:00Z,NSW1,11883,MAX
2015-07-13T18:30:00Z,NSW1,11949,MAX
2015-07-16T18:00:00Z,NSW1,11982,MAX
2015-07-16T18:30:00Z,NSW1,12136,MAX
2015-11-20T14:30:00Z,NSW1,12263,MAX
2015-11-20T15:00:00Z,NSW1,12525,MAX
2015-11-20T15:30:00Z,NSW1,12670,MAX
2015-11-20T16:00:00Z,NSW1,12802,MAX
2016-01-14T13:30:00Z,NSW1,12844,MAX
2016-02-25T15:00:00Z,NSW1,13090,MAX
2016-02-25T15:30:00Z,NSW1,13316,MAX
2016-02-25T16:00:00Z,NSW1,13494,MAX
2016-02-25T16:30:00Z,NSW1,13566,MAX
2016-02-25T17:00:00Z,NSW1,13599,MAX
2017-01-17T16:00:00Z,NSW1,13630,MAX
2017-01-17T16:30:00Z,NSW1,13749,MAX
2017-01-17T17:00:00Z,NSW1,13800,MAX
2017-01-30T15:30:00Z,NSW1,13868,MAX
2017-01-30T16:00:00Z,NSW1,13932,MAX
2017-01-30T16:30:00Z,NSW1,14029,MAX
2017-02-10T16:30:00Z,NSW1,14064,MAX
2017-02-10T17:00:00Z,NSW1,14087,MAX
2014-09-04T00:30:00Z,QLD1,5075,MAX
2014-09-04T06:00:00Z,QLD1,5170,MAX
2014-09-04T06:30:00Z,QLD1,5521,MAX
2014-09-04T07:00:00Z,QLD1,5856,MAX
